# prefabPath	hierarchyPath	slotIndex	originalMaterialPath
Assets/_Project/Prefabs/Hackables/Deferred/RotationPlatform.prefab	Riders/Platform	0	Assets/Smart Turret Template/Materials/STT_Found.mat
Assets/_Project/Prefabs/Hackables/Deferred/RotationPlatform.prefab	Riders/Platform (1)	0	Assets/Smart Turret Template/Materials/STT_Found.mat
Assets/_Project/Prefabs/Hackables/Deferred/RotationPlatform.prefab	Riders/DirMarker	0	Packages/com.unity.render-pipelines.universal/Runtime/Materials/Lit.mat
Assets/_Project/Prefabs/Hackables/ExternalControl/Gantry.prefab	Gantry	0	Packages/com.unity.render-pipelines.universal/Runtime/Materials/Lit.mat
Assets/_Project/Prefabs/Hackables/ViewEntry/GuardDebris/GuardPart_ArmLower_L.prefab	GuardPart_ArmLower_L	0	Assets/Robot1F_Workshop_3D/Materials/Robot1_DefaultMaterial_AlbedoTransparency.mat
Assets/_Project/Prefabs/Hackables/ViewEntry/GuardDebris/GuardPart_ArmLower_R.prefab	GuardPart_ArmLower_R	0	Assets/Robot1F_Workshop_3D/Materials/Robot1_DefaultMaterial_AlbedoTransparency.mat
Assets/_Project/Prefabs/Hackables/ViewEntry/GuardDebris/GuardPart_ArmUpper_L.prefab	GuardPart_ArmUpper_L	0	Assets/Robot1F_Workshop_3D/Materials/Robot1_DefaultMaterial_AlbedoTransparency.mat
Assets/_Project/Prefabs/Hackables/ViewEntry/GuardDebris/GuardPart_ArmUpper_R.prefab	GuardPart_ArmUpper_R	0	Assets/Robot1F_Workshop_3D/Materials/Robot1_DefaultMaterial_AlbedoTransparency.mat
Assets/_Project/Prefabs/Hackables/ViewEntry/GuardDebris/GuardPart_Head.prefab	GuardPart_Head	0	Assets/Robot1F_Workshop_3D/Materials/Robot1_DefaultMaterial_AlbedoTransparency.mat
Assets/_Project/Prefabs/Hackables/ViewEntry/GuardDebris/GuardPart_LegLower_L.prefab	GuardPart_LegLower_L	0	Assets/Robot1F_Workshop_3D/Materials/Robot1_DefaultMaterial_AlbedoTransparency.mat
Assets/_Project/Prefabs/Hackables/ViewEntry/GuardDebris/GuardPart_LegLower_R.prefab	GuardPart_LegLower_R	0	Assets/Robot1F_Workshop_3D/Materials/Robot1_DefaultMaterial_AlbedoTransparency.mat
Assets/_Project/Prefabs/Hackables/ViewEntry/GuardDebris/GuardPart_LegUpper_L.prefab	GuardPart_LegUpper_L	0	Assets/Robot1F_Workshop_3D/Materials/Robot1_DefaultMaterial_AlbedoTransparency.mat
Assets/_Project/Prefabs/Hackables/ViewEntry/GuardDebris/GuardPart_LegUpper_R.prefab	GuardPart_LegUpper_R	0	Assets/Robot1F_Workshop_3D/Materials/Robot1_DefaultMaterial_AlbedoTransparency.mat
Assets/_Project/Prefabs/Hackables/ViewEntry/GuardDebris/GuardPart_Torso.prefab	GuardPart_Torso	0	Assets/Robot1F_Workshop_3D/Materials/Robot1_DefaultMaterial_AlbedoTransparency.mat
Assets/_Project/Prefabs/Hackables/ViewEntry/RobotArm.prefab	RobotArm	0	Packages/com.unity.render-pipelines.universal/Runtime/Materials/Lit.mat
Assets/_Project/Prefabs/TallCity/Clouds/ps_clouds prtc.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Clouds/ps_clouds prtc.prefab	ps_clouds prtc	1	
Assets/_Project/Prefabs/TallCity/Prefab/Bridge/bridge 1 cap.prefab	bridge 1 cap	0	Assets/TallCity/Materials/bridge 1.mat
Assets/_Project/Prefabs/TallCity/Prefab/Bridge/bridge 1 end.prefab	bridge 1 end	0	Assets/TallCity/Materials/bridge 1.mat
Assets/_Project/Prefabs/TallCity/Prefab/Bridge/bridge 1 tile.prefab	bridge 1 tile	0	Assets/TallCity/Materials/bridge 1.mat
Assets/_Project/Prefabs/TallCity/Prefab/Cable/cableprobe 1.prefab	cableprobe 1	0	Assets/TallCity/Materials/cableprobe.mat
Assets/_Project/Prefabs/TallCity/Prefab/Cable/cableprobe 2.prefab	cableprobe 2	0	Assets/TallCity/Materials/cableprobe.mat
Assets/_Project/Prefabs/TallCity/Prefab/Cable/cableprobe 3.prefab	cableprobe 3	0	Assets/TallCity/Materials/cableprobe.mat
Assets/_Project/Prefabs/TallCity/Prefab/Cable/cableprobe 4.prefab	cableprobe 4	0	Assets/TallCity/Materials/cableprobe.mat
Assets/_Project/Prefabs/TallCity/Prefab/Cable/cableprobe 6.prefab	cableprobe 6	0	Assets/TallCity/Materials/cableprobe.mat
Assets/_Project/Prefabs/TallCity/Prefab/cableprobe 5.prefab	cableprobe 5	0	Assets/TallCity/Materials/cableprobe.mat
Assets/_Project/Prefabs/TallCity/Prefab/clouds.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Prefab/clouds.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Prefab/clouds.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Prefab/clouds.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Prefab/clouds.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Prefab/clouds.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Prefab/clouds.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Prefab/clouds.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Prefab/clouds.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Prefab/clouds.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Prefab/clouds.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Prefab/clouds.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Prefab/clouds.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Prefab/clouds.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Prefab/clouds.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Prefab/clouds.prefab	ps_clouds prtc	0	Assets/TallCity/Clouds/cloud.mat
Assets/_Project/Prefabs/TallCity/Prefab/door.prefab	door	0	Assets/TallCity/Materials/doorwindow.mat
Assets/_Project/Prefabs/TallCity/Prefab/Exhaus/exhaus 1.prefab	exhaus 1	0	Assets/TallCity/Materials/exhaus.mat
Assets/_Project/Prefabs/TallCity/Prefab/Exhaus/exhaus 2.prefab	exhaus 2	0	Assets/TallCity/Materials/exhaus.mat
Assets/_Project/Prefabs/TallCity/Prefab/Exhaus/exhaus 3.prefab	exhaus 3	0	Assets/TallCity/Materials/exhaus.mat
Assets/_Project/Prefabs/TallCity/Prefab/Exhaus/exhaus 4.prefab	exhaus 4	0	Assets/TallCity/Materials/exhaus.mat
Assets/_Project/Prefabs/TallCity/Prefab/Ground/ground cap.prefab	ground cap	0	Assets/TallCity/Materials/border.mat
Assets/_Project/Prefabs/TallCity/Prefab/Ground/ground corner.prefab	ground corner	0	Assets/TallCity/Materials/border.mat
Assets/_Project/Prefabs/TallCity/Prefab/Ground/ground corner.prefab	ground corner	1	Assets/TallCity/Materials/ground 2.mat
Assets/_Project/Prefabs/TallCity/Prefab/Ground/ground corner.prefab	ground corner	2	Assets/TallCity/Materials/border dwn.mat
